ComponetID,s 1,s 3,s 5,s 7,s 9,s11,s13,s15,s17,s19,s 2,s 4,s 6,s 8,s10,s12,s14,s16,s18,s20
v1010,48036,15976,0,19321,0,46622,0,0,0,0,0,0,0,64429,0,53733,0,0,0,0
v1013,872241,335659,1129155,500269,1397368,803572,1222755,874546,825196,760448,748640,635786,561909,1159097,934654,986650,630254,728471,1488401,1173200
v1016,13960,0,34016,0,32046,10123,30623,0,12902,12781,23332,17661,8372,0,9072,7975,0,15355,28882,21802
v1055,2166,1121,0,0,0,0,2827,6053,0,2007,2825,0,3794,0,0,0,0,2242,0,3330
v1065,1571,0,0,0,0,0,0,2561,0,1320,1741,0,0,1979,1341,1966,1864,0,0,2125
v1066,0,3336,0,0,58373,0,0,17059,8832,8407,7507,8950,0,17911,0,0,0,0,13439,11280
v1084,0,0,11261,0,0,0,12372,12839,0,11261,13694,0,0,13683,11317,12152,10643,0,11523,14619
v1113,2642345,3710584,5818252,1692242,6985648,5434287,7303466,5858564,5484188,3418259,3252264,2311908,3096663,4631608,3675062,4515954,1501700,4338365,7464370,6069092
v1120,1220465,506730,801733,865594,0,859492,0,0,0,862689,0,0,548365,439959,0,0,744144,0,0,551971
v1147,0,18957,35507,18276,0,26565,42454,15541,45882,24626,0,32322,16242,3562,31029,11045,32111,32372,49291,37742
v1234,48211,35282,37126,46016,0,0,0,30890,36107,42104,40895,0,0,21461,0,29993,32782,19367,46320,0
v1237,21319,33462,21263,28654,28419,24500,19416,25777,38941,0,0,25941,34014,27195,0,26312,24787,22095,27929,36109
v1254,24230,4095,30525,6282,18377,33250,24776,35975,0,0,16798,18919,22229,31828,23067,33123,27310,22535,21226,0
v1323,10798,0,13610,7211,0,12851,12067,10629,11460,6329,7038,6533,5926,7513,8506,10053,4736,8744,0,0
v1339,77792,66342,199141,68975,285795,489345,123446,695142,98304,87972,140944,199529,160963,320705,207267,311550,109828,135723,117116,113676
v1355,974890,328497,1041171,271669,1253735,3235853,623828,5639273,2367952,607391,777224,781807,1244452,5047067,984659,2224931,340262,631683,777896,2558966
v1358,2492605,265898,2655363,547769,2930035,965789,2819826,0,0,441741,1112982,968690,607734,1003474,741905,3467614,567315,547908,1571255,519098
v1359,0,643197,0,734506,0,0,0,0,0,1381621,1795148,1531022,3010952,0,2696909,0,2128919,1508196,1782148,0
v1361,269926,106970,322957,157362,395288,199022,399402,395411,266853,280745,219343,207081,0,377447,0,319491,0,0,513500,365637
v1364,101112,0,139159,0,118459,0,161464,192858,110090,0,0,0,0,0,0,0,0,0,186188,0
v1414,0,5153,13109,0,0,13236,14110,0,11125,0,0,9326,0,0,9391,12080,0,0,0,0
v1416,0,3488,11435,5496,13119,12562,12834,4239,9889,0,2770,0,0,0,0,3459,4955,0,10889,7346
v1478,694518,200868,546023,231195,796205,563445,781072,802039,448496,486543,168365,381977,431674,848973,615516,646922,459684,344315,936808,689934
v1481,0,0,150557,46852,0,0,193722,152932,139989,0,146047,35561,109429,0,0,0,0,75009,0,0
v1489,499179,448203,1341594,559283,1418918,1333485,1079449,776714,1091388,614388,492479,542249,829410,1040849,1217626,943648,883098,613539,1313575,1011963
v1492,34252,0,0,0,75427,67475,0,0,0,31965,30380,0,0,0,0,0,0,0,0,0
v1511,1761098,459976,2579624,820523,2665616,2427168,3047926,3482482,1692957,1350720,1099497,1697317,1852253,2316667,1620058,1723832,1463482,1679084,1271381,778270
v1512,0,0,0,17386,56648,0,0,73973,0,29636,0,0,0,0,0,40882,0,0,0,0
v1521,0,0,11099,3801,0,13536,16301,0,0,0,0,0,6129,0,0,0,7433,0,2878,3137
v1527,46411,7847,52375,29609,45161,60593,44099,78121,23276,51709,66364,79315,30968,84263,61945,91244,56586,61155,18204,61619
v1542,21473,4666,26168,13945,25612,22252,32064,38507,0,24012,0,37934,24715,48466,46554,50485,58465,31717,25427,31916
v1543,155348,92127,170094,83553,804549,1017266,253202,3074246,994586,673582,119386,196768,226555,3323599,142689,1556963,159136,108606,3638706,635629
v1545,6801,0,0,4443,22542,0,0,77758,29621,21316,0,0,7672,89843,7595,0,6405,4117,83109,4042
v1596,4279,5417,0,2823,1688,0,0,0,4832,3893,0,3835,0,0,3122,0,0,4777,0,4331
v1612,65779,0,48331,12085,38991,38963,60493,0,0,0,38457,43267,0,0,50872,61980,36052,42431,0,19665
v1623,0,21632,0,0,3549,7706,0,46627,28486,27636,0,0,66221,31567,0,0,5083,0,28849,14825
v1638,7006,6610,38621,6570,40201,70596,47670,137180,90775,19909,11799,11655,15019,38273,23191,54216,3133,7933,21150,18808
v1640,8949,5312,0,6910,32177,0,0,0,0,19460,11437,8491,13256,28606,12463,0,8051,6772,35591,15012
v1645,44046,9894,40172,0,60861,57775,75277,24381,70368,9016,19585,20261,0,0,8694,52774,14975,26749,28474,20787
v1673,39618,10382,27676,9212,21970,59846,45366,80547,33156,37709,29670,22648,30020,80898,6581,34936,13595,15367,93794,31895
v1687,1756496,599695,2222410,964667,2356550,1704167,2266530,2508876,2055885,1469963,1318766,1411780,1617057,1937407,1910305,1684954,955713,1287876,1567198,831016
v1690,0,25354,141739,0,240659,0,71958,270534,0,0,44909,0,0,36312,60643,187027,32931,0,31330,73466
v1691,0,0,0,9705,0,21265,0,0,25340,15621,0,15420,19681,12667,0,0,9086,12238,0,8877
v1693,0,1905,18559,4179,15718,19726,22442,0,12314,7183,12402,14586,7719,24087,19798,15189,25035,14831,17164,9791
v1708,0,4289,0,0,0,8763,9501,0,4133,9196,10610,6829,0,14568,12082,11201,7508,10756,10241,14065
v1748,0,0,0,190,6803,0,0,9356,31090,0,2469,0,0,3873,811,5087,0,962,12705,19416
v1787,2228929,597942,2615058,892180,2785520,1993043,2628111,3007819,2362951,1655773,1502727,1329175,1557106,2446177,1808639,2239178,1425209,1594150,2447639,1376416
v1791,0,0,0,52162,0,99186,0,0,0,0,76801,0,0,0,94279,0,67744,0,0,0
v1876,2240,0,0,0,7838,5860,5258,4971,7001,3262,0,0,0,5502,0,5156,0,0,6504,5995
v1877,43521,30193,45171,45295,21944,42949,32729,32367,25413,47396,44025,27252,45786,28047,21317,29846,17786,32325,53588,45537
v1906,4707,0,2956,0,2033,0,0,2898,0,3070,5833,2637,0,4348,4036,3862,0,0,0,5149
v1921,180906,112866,149793,165976,187989,125769,191505,132549,202333,203476,156717,151419,149956,132525,161531,194452,171127,144184,197608,142536
v1939,12335,2785,41419,9909,52122,39835,46190,75429,29590,14934,6913,9135,8348,47053,9374,11007,7009,5745,36079,12342
v1940,9350,0,4711,0,0,0,14064,5747,0,12306,12711,11617,0,12474,5395,18464,2761,1538,2852,0
v1946,1137,0,0,3611,0,0,4907,0,4611,4707,0,0,0,0,0,1468,0,0,0,0
v1953,16724,37195,26283,37005,50237,41006,37005,59590,34624,56962,43518,42565,26174,0,61646,40802,57593,50676,0,23305
v1959,27400,21299,33270,21377,0,25939,33859,0,25992,0,0,16855,32604,0,0,19392,0,16532,25863,30715
v1978,4977,4544,3486,6701,0,6648,4589,4738,8433,6438,6363,6492,6246,4870,6073,4817,3455,6633,6221,6112
v1991,81419,10851,135880,20928,147081,141245,190257,139987,118772,47414,68270,62624,58434,185175,135113,72513,54801,45067,197952,124731
v2005,178836,234274,207376,212140,233745,215360,213839,227315,233901,203361,201663,204760,225608,129812,142455,153891,220568,237261,158654,224611
v2006,7830,0,4753,861,0,0,14893,0,18557,2694,3742,29676,42990,50560,45403,43193,27925,25686,34166,26422
v2011,6511,1143,0,0,4631,0,7010,0,7169,0,3902,8333,13098,19592,16857,18017,11617,9794,18466,16536
v2021,21609,24398,20749,23252,46792,0,28588,42710,26692,40472,43575,42438,32792,21139,57765,37201,13658,50050,46046,51402
v2033,19185,0,0,0,0,0,17001,13435,22500,17956,0,0,0,20777,0,0,0,0,0,0
v2059,191667,24436,142806,48795,551041,344413,605090,527897,357220,101521,109017,204914,130680,392009,232144,256577,210892,130895,354097,145699
v2062,0,0,0,0,66718,17368,56929,0,0,9829,15749,16425,0,0,6308,40360,14978,15921,39511,11235
v2064,115584,38460,232363,52415,118806,91854,146458,768667,544528,24025,69383,87601,0,88814,96272,0,0,0,0,115056
v2068,8431,0,0,0,44517,18450,66709,130913,148738,0,451,0,0,16394,10926,0,0,0,60487,9682
v2076,0,0,26272,0,40222,20301,0,35377,4851,23887,23044,31617,56978,37723,26604,68738,55500,52220,85361,0
v2079,0,0,67099,0,0,0,14567,0,31253,50940,0,0,0,0,0,36816,14005,19417,0,0
v2107,189374,64574,185643,73581,371713,271600,241335,620660,259197,243290,108627,167398,195821,469017,158199,220276,93732,84009,465819,175392
v2130,9810,6056,0,6910,0,10813,0,0,5122,0,0,7682,0,10437,6220,8376,0,0,0,0
v2134,5907,0,0,7085,0,11787,0,0,0,11339,0,12295,11756,13497,14599,17679,1741,9914,11147,0
v2141,13840,6831,26518,13625,34030,23464,13403,23621,16270,20670,26862,22011,23115,29114,32755,33486,16811,18318,34929,9182
v2142,11727,6754,12922,0,0,8675,10770,23791,23661,6588,4192,4760,3238,12164,6696,8800,5820,6902,10385,30437
v2167,0,6880,4807,3908,5027,5390,5135,6756,4594,6447,0,3110,5813,6087,3638,4874,3737,0,0,2084
v2175,0,0,2064,0,0,0,0,34174,26076,0,0,5302,0,0,0,10797,0,19850,0,9143
v2179,68912,5986,14527,10607,0,24790,120822,43633,32807,42888,82074,55079,58185,114571,72686,83000,33781,25317,63107,19596
v2181,131308,149294,498445,203847,710915,179199,376033,620523,815547,164284,195836,346207,271602,388266,319618,288644,287828,209864,491570,299251
v2182,135540,85578,123631,109626,271673,125909,0,165051,190244,0,254242,0,196582,532255,127425,207691,114785,96400,119840,122365
v2183,10772,4818,12786,6473,0,12387,0,17297,9358,0,11933,6282,0,15607,0,13293,0,0,0,0
v2186,160282,0,177886,0,0,187004,212673,173491,99191,92713,133755,109564,0,0,185144,185857,112949,112820,132741,0
v2187,20010,0,0,0,0,0,14779,28556,18389,0,10312,15949,0,21308,24513,29318,18805,16219,18819,0
v2188,0,13993,34863,22718,63835,29343,38961,0,0,28225,26627,0,35844,0,0,0,0,0,0,0
v2189,70916,0,131007,71587,268400,151558,126605,114902,88143,78432,63481,60104,86715,100898,102075,95809,70870,55982,90229,72737
v2200,26153,0,0,10048,0,0,0,0,0,0,0,0,20427,53259,24666,0,21856,18708,0,0
v2204,152481,77581,255058,115369,392112,260585,634552,442072,452909,384428,402442,167188,173882,0,214320,623330,0,138836,0,143533
v2206,83070,0,67985,0,0,133034,0,82969,0,0,0,0,0,74555,0,221728,0,0,124263,32525
v2209,190692,74609,0,64459,357931,288483,49626,0,63466,151307,0,261228,319315,349603,172237,0,137147,197092,270098,267654
v2214,46387,0,63696,24455,0,70939,68995,82614,39137,0,72919,0,13910,38576,64226,109007,31459,0,0,0
v2226,0,0,3046,1968,0,0,0,0,3143,0,0,0,0,0,1943,2131,0,0,0,0
v2270,9053,9502,11715,17572,15610,18769,15157,19191,6746,10922,12064,30503,27385,34775,13926,7199,4021,31936,59278,40911
v2276,0,0,1554,0,0,31564,21748,40264,20512,25145,25446,0,0,0,0,31763,10390,0,0,0
v2304,0,2007,5024,3363,0,3240,0,8057,7173,4271,0,0,4826,7045,8110,0,4280,3795,0,5055
v2307,2449,0,0,0,5190,3900,0,5386,3541,0,0,2233,0,3902,4060,4834,0,1827,0,3937
v2328,15937,4354,15246,4407,17509,14577,19961,13664,11183,9892,20432,17571,14576,10006,18411,26714,6190,21275,14764,14733
v2351,6972,6766,10331,11300,0,0,20532,0,0,2748,15869,0,11980,3632,13914,13222,0,14692,0,11613
v2353,7670,0,9547,0,13110,13605,7379,10229,11341,9613,0,13480,0,0,7841,6221,5872,0,18269,4110
v2380,806981,330333,802697,435561,1288806,578460,1313641,1129047,746219,581570,302451,541489,695589,548847,366560,371536,488019,324705,403286,234293
v2385,5371,0,19222,8145,33849,17006,44643,0,16322,12214,13278,14951,22445,17509,0,24463,0,9153,0,12107
v2395,0,0,0,0,0,0,0,0,1827,0,5407,1892,7288,2914,0,6769,0,3461,4547,0
v2406,171242,41660,218303,57293,178866,235184,253451,236619,144649,115021,171943,126420,105070,241658,271049,271872,114914,209817,234538,233931
v2430,256014,127089,546691,232140,405778,576966,449348,980361,273235,447814,133276,114031,140492,219726,114235,172696,60050,53398,184130,125665
v2450,0,0,0,0,69580,43636,0,91602,242070,0,0,5567,0,0,2557,30565,16095,0,21147,0
v2452,32303,3834,33213,5462,0,0,49440,0,0,7237,10947,9713,23416,34572,33760,0,42120,27182,117300,29233
v2476,0,1293,0,0,0,3924,0,2392,2278,2688,0,3434,2064,0,3175,6874,4618,2273,0,2771
v2491,0,2248,10001,0,23072,11690,20119,0,17821,0,5468,7336,0,0,0,0,10479,0,28361,0
v2495,11532,10366,6260,12655,9252,10132,14822,18132,0,8050,10964,7778,7943,29254,7008,21322,22568,10359,24059,18167
v2501,19995,0,0,0,0,0,0,65110,33328,0,20393,11706,21908,9884,0,0,0,19507,0,0
v2541,0,0,4585,0,2144,4993,2528,4697,3474,1912,3820,3095,0,0,5161,0,3945,2863,0,0
v2559,16701,5402,20460,8658,18259,12840,28482,13221,18129,6669,19589,56900,83470,111771,86786,71754,69721,46704,105527,88212
v2587,217825,88556,366209,145283,298206,407762,312747,406574,248670,230933,277735,151547,170624,495163,186839,392109,152051,119467,329863,91095
v2609,286097,158552,470960,220870,568229,468061,504708,521862,297712,257346,205670,188974,228137,394763,241492,197488,207955,193171,349353,262385
v2633,67308,9506,192268,34685,154968,175408,195809,146753,74870,49540,47587,36161,34864,175260,105441,117439,115412,81004,173227,134931
v2694,44602,6995,70272,36290,0,68303,19049,20486,59082,16852,0,27585,0,0,78669,17880,0,17888,0,4499
v2705,1972,0,8905,8857,10703,5453,17960,10235,9318,14817,5481,8140,6458,12021,8559,16480,17955,18682,7370,3102
v2707,0,8310,13234,11189,16719,10673,14127,23388,9252,0,7008,13624,14401,29632,29449,29011,16312,0,32189,24125
v2714,0,19356,0,0,90993,0,56852,56496,0,32499,47504,0,49610,65767,31585,62559,59189,45141,62264,0
v2722,25046,0,43684,0,0,0,19723,0,38618,21047,16655,0,0,0,40265,0,23054,14085,22786,2234
v2724,0,13405,0,16846,81669,42187,19884,33408,0,0,16246,31449,41974,48286,0,45882,0,15746,23280,14398
v2753,113677,52840,126378,43662,85768,120778,23095,64254,14406,88947,24300,52976,120454,133897,16283,22471,13907,16785,32767,30713
v2754,0,0,0,0,0,0,55760,126225,105218,0,64237,0,0,0,0,58666,31338,0,66759,56612
v2806,55970,8239,99208,31202,79730,127065,77067,66846,65398,50019,76569,85182,42596,101835,111278,113303,92762,57839,92183,87720
v2828,19238,0,33628,8499,33508,35107,40330,32747,16533,11130,9925,9630,10389,15254,15913,21074,17074,14894,34523,27714
v2833,37531,4696,48184,9267,29517,52473,0,0,32673,9138,0,11643,11391,14691,12811,22812,17153,7604,24391,0
v2837,10444,4251,3224,0,13782,14111,9964,11088,7552,9302,5231,6360,7455,5144,14301,17985,11585,5781,19353,15099
v2859,2744,4797,15394,9850,28797,0,0,0,15837,0,0,13557,0,44974,6366,19599,8308,0,49400,0
v2872,1643,0,2498,1339,0,1233,0,3539,0,1712,0,1550,0,2155,1420,4079,2754,0,0,2342
v2880,13108,5153,16931,9048,5964,12629,12006,11199,6490,8575,11170,12361,17091,14388,0,8978,4941,13083,9091,16250
v2921,11545,2369,18549,2353,13333,14812,26277,15533,9906,6321,13661,12519,10150,24593,25524,26206,10367,10718,18946,20931
v2952,24842,8160,3532,14322,15816,6918,13444,8588,2286,15299,6236,24059,26861,28814,3347,5465,2477,6580,10749,18850
v2970,0,0,0,0,0,0,4528,1887,0,0,0,2911,2859,4704,2508,2839,2039,2650,1968,3831
v2982,0,2601,9422,2260,9170,8733,3844,7666,4120,4803,5591,0,0,0,0,1213,0,0,0,0
v2990,19884,10016,23912,14385,0,5395,0,90531,0,0,51996,25406,25335,41943,24778,61103,20100,25517,37418,37502
v2994,0,0,0,3077,3039,14567,12072,0,10579,11373,0,6938,0,9021,13761,0,0,0,0,0
v3034,0,0,10156,0,0,5406,0,0,4268,0,4846,5319,3469,0,1730,7499,5328,0,7075,6317
v3049,819294,184010,823347,329353,1269164,887238,1036933,969664,376404,583209,507872,803053,575236,1149124,815427,692142,500047,618284,934034,880309
v3051,0,48173,0,0,0,0,0,112834,0,0,113275,0,120510,0,0,165057,0,0,0,0
v3060,33808,0,28781,0,0,11809,43562,44335,0,23893,0,38519,0,39917,34812,0,0,0,0,0
v3182,554758,172772,684755,339186,1075466,566870,438471,722864,554208,523388,484801,367530,261247,404089,207864,304556,169785,275860,298597,184366
v3189,238277,113939,446636,0,287789,384879,349189,388009,0,0,241417,23819,28761,79455,68931,48595,53516,23465,82271,38826
v3197,60193,21423,35256,48579,112832,22135,38226,67477,55468,120932,134873,0,159552,0,123162,0,79663,0,146384,0
v3218,12327,0,9150,0,0,5554,21061,12896,10276,4655,5287,30623,35243,0,0,20227,35330,0,0,16092
v3233,0,0,0,1837,4458,2324,0,0,0,0,2468,0,0,21403,26877,21443,0,18611,21467,16271
v3272,27026,5851,30730,10503,15291,18877,22321,30848,38224,7870,27007,31678,27037,58318,23352,32974,27739,22394,129166,43978
v3310,59342,0,25746,18012,0,22182,37788,61010,25196,26499,25311,52689,48431,93912,39280,35666,44852,0,79745,40268
v3312,28753,0,50468,11138,0,65856,14316,23874,17089,15733,23518,35503,24512,31882,33899,43053,25065,25971,33429,28163
v3361,291434,108194,159113,136772,286159,317597,189368,160019,330159,109200,114021,80308,312574,341041,133793,308899,142207,122038,153591,199115
v3362,0,0,210705,0,101365,0,210191,204494,0,0,147895,139045,33368,0,154761,0,170809,143477,248308,219070
v3366,20686,0,34700,9357,29313,34614,36176,29722,18630,11486,7246,27424,17822,10733,0,36378,28258,0,4343,35102
v3367,0,3868,0,0,0,0,0,0,0,0,12256,0,0,16817,0,0,0,19336,22615,0
v3401,0,0,0,0,0,0,44633,0,62873,31308,0,0,0,70616,36003,65543,0,28943,0,0
v3414,30336,8992,0,14591,0,23083,0,43831,0,15228,0,0,0,0,0,0,0,0,0,0
v3456,9444,0,0,3463,1716,2180,6151,0,6664,1042,2677,5157,6960,10741,11218,9812,0,0,7153,0
v3477,0,0,1428,0,0,0,2297,0,0,0,1276,0,3458,0,3616,3607,0,0,0,5854
v3484,23887,8635,40350,15077,32738,29809,32179,33058,80083,10248,34831,25666,37635,53328,41861,52236,29668,30150,67101,22773
v3510,17387,3235,20475,7756,8511,15519,10711,0,73743,2552,28151,9785,4956,32212,28547,31613,18715,16299,52521,25837
v3542,418764,79550,292513,125015,222530,236253,481832,578415,210445,160556,258765,230624,256831,284031,141251,220311,136222,211000,247952,326475
v3552,47671,9917,57140,7720,15947,16353,50256,0,0,0,15901,29885,0,0,24412,19202,17079,17217,0,0
v3578,8528,0,0,0,0,0,197031,487112,506500,0,0,0,0,0,0,0,0,0,246960,0
v3582,15607189,4593653,26748471,12244282,15390132,20518692,30106742,27686242,15935865,11419153,9727161,15911322,19750955,9951374,25081325,18141539,13598808,24401212,6270813,12083001
v3592,0,196750,663524,0,0,0,0,0,0,0,0,1041505,554676,709494,0,0,1107644,0,1148278,0
v3595,0,51829,266890,86244,77001,0,362914,333784,0,97563,0,171989,461085,367792,330305,402928,302256,0,326009,0
v3598,2035313,0,0,0,900823,0,0,0,1148003,0,0,0,0,0,0,0,0,2031637,0,795178
v3613,3216500,1167343,5883834,2405916,3483905,4392749,6212950,4392812,4003986,2304869,3026439,3822416,4885762,6256369,5006209,2891322,3683126,6256431,5966043,2299478
v3639,653058,342723,1223508,429632,1538884,863348,1059604,1269245,856390,723237,395316,386810,754118,609336,1366072,560109,483466,523821,453637,331273
v3758,3055,0,4737,0,0,3186,10190,10050,2192,4998,13754,6320,7260,24717,14468,22707,10440,11521,20674,16445
v3838,100875,72249,227742,136746,516842,300925,179909,87505,83873,140580,118616,133782,161251,209646,249399,69720,127227,86120,92379,57164
v3871,6311,0,3316,1797,5506,0,9625,6127,3441,3430,10144,5043,10152,0,11004,8289,7639,0,43582,36222
